225,20201012220312gloire,1000033,1,0.5,0.5,10/12/2020,1,gloire
226,20201012224713gloire,1000134,2,0.4,0.8,10/12/2020,1,gloire
227,20201012224713gloire,1000242,1,1.25,1.25,10/12/2020,1,gloire
228,20201012224713gloire,1000099,1,2.5,2.5,10/12/2020,1,gloire
229,20201012224713gloire,1000258,2,0.5,1,10/12/2020,1,gloire
230,20201012224713gloire,2000003,1,2,2,10/12/2020,1,gloire
231,20201012224713gloire,1000202,1,6.5,6.5,10/12/2020,1,gloire
232,20201012224713gloire,1000095,1,3,3,10/12/2020,1,gloire
233,20201012224713gloire,1000177,1,1.5,1.5,10/12/2020,1,gloire
234,20201012224713gloire,1000018,1,3,3,10/12/2020,1,gloire
235,20201011082620chantale,1000228,2,0.4,0.8,10/11/2020,8,chantale
236,20201011082704chantale,1000014,1,0.9,0.9,10/11/2020,8,chantale
237,20201011082737chantale,1000290,1,3,3,10/11/2020,8,chantale
238,20201011082819chantale,1000107,1,2.5,2.5,10/11/2020,8,chantale
239,20201011082845chantale,1000214,1,1,1,10/11/2020,8,chantale
240,20201011082931chantale,1000033,3,0.5,1.5,10/11/2020,8,chantale
241,20201011083021chantale,1000048,1,0.7,0.7,10/11/2020,8,chantale
242,20201011083056chantale,1000184,1,2,2,10/11/2020,8,chantale
243,20201011083136chantale,1000020,1,3,3,10/11/2020,8,chantale
244,20201011083222chantale,1000241,1,1,1,10/11/2020,8,chantale
245,20201011083228chantale,1000048,1,0.7,0.7,10/11/2020,8,chantale
246,20201011083339chantale,1000021,1,0.85,0.85,10/11/2020,8,chantale
247,20201011083415chantale,1000014,2,0.9,1.8,10/11/2020,8,chantale
248,20201011083447chantale,1000215,2,0.2,0.4,10/11/2020,8,chantale
249,20201011083541chantale,1000095,1,3,3,10/11/2020,8,chantale
250,20201011084210chantale,1000024,1,0.85,0.85,10/11/2020,8,chantale
251,20201011084210chantale,1000021,1,0.85,0.85,10/11/2020,8,chantale
252,20201011084210chantale,1000204,1,2,2,10/11/2020,8,chantale
253,20201011084210chantale,1000258,1,0.5,0.5,10/11/2020,8,chantale
254,20201011084210chantale,1000183,1,1,1,10/11/2020,8,chantale
255,20201011084500chantale,1000263,2,0.15,0.3,10/11/2020,8,chantale
256,20201011084500chantale,1000258,1,0.5,0.5,10/11/2020,8,chantale
257,20201011084500chantale,1000253,1,0.75,0.75,10/11/2020,8,chantale
258,20201011084500chantale,1000265,5,0.05,0.25,10/11/2020,8,chantale
259,20201011084500chantale,1000236,1,0.1,0.1,10/11/2020,8,chantale
260,20201011085039chantale,1000121,1,2.5,2.5,10/11/2020,8,chantale
261,20201011085039chantale,1000263,5,0.15,0.75,10/11/2020,8,chantale
262,20201011085039chantale,1000180,2,1,2,10/11/2020,8,chantale
263,20201011085039chantale,1000033,5,0.5,2.5,10/11/2020,8,chantale
